Date,IIP_yoy_pct,IIP_mom_pct,IIP_level,CPI_yoy_pct,CPI_mom_pct,CPI_level,Credit_yoy_pct,Credit_stock_VNDbn,ON_avg_monthly_interbank_rate,MP_shock_monthly,Age65_percent,Age65_z_m,AI_index_zavg,AI_index_pc1
2014-01-10,19.66134608,4.6,121.4279804,4.343951993,0.11,108.3534462,14.14463506,3784769.0,2.098261,-1.033298233,6.282360397,-1.1395699915010413,-0.6163396071302816,-0.7071036466876047
2014-01-11,19.32139908,5.3,127.8636634,3.709610646,-0.27,108.0608919,15.21028448,3853337.0,2.7185,-1.028693163,6.282360397,-1.1395699915010413,-0.6803725332113449,-0.7672087497213465
2014-01-12,19.54998413,4.6,133.7453919,2.93573533,-0.24,107.8015458,14.1623095,3970548.0,3.064167,1.024603312,6.282360397,-1.1395699915010413,-0.5773561707837993,-0.6708346622639657
2015-01-01,23.88335243,-2.8,130.0005209,2.025885251,-0.2,107.5859427,14.77908871,3971912.0,3.4505,-0.597105896,6.450789799,-0.9548756782030701,-0.6988784816370125,-0.7915265805112098
2015-01-02,11.59169316,-19.2,105.0404209,1.417078378,-0.05,107.5321497,16.24727691,3996271.0,4.362,-1.501337741,6.450789799,-0.9548756782030701,-0.7483227646663391,-0.8508682947097095
2015-01-03,20.08755346,25.8,132.1408495,2.018083563,0.15,107.6934479,16.57335525,4075612.0,3.9176,-0.350946947,6.450789799,-0.9548756782030701,-0.634559148376331,-0.7303688008794603
2015-01-04,18.18893601,-0.4,131.6122861,2.079245484,0.14,107.8442188,17.03702108,4128770.0,3.5911,-0.386562422,6.450789799,-0.9548756782030701,-0.6710012136229081,-0.7572831012662439
2015-01-05,18.30480752,2.1,134.3761441,2.038495286,0.16,108.0167695,18.32107269,4177852.0,2.5455,-1.354783784,6.450789799,-0.9548756782030701,-0.7028537802667881,-0.7965648413428592
2015-01-06,19.48196978,1.5,136.3917863,1.001805109,0.35,108.3948282,18.71870629,4282604.0,2.7505,-0.548529477,6.450789799,-0.9548756782030701,-0.6576583284332547,-0.7577861575939074
2015-01-07,20.55516113,1.1,137.8920959,0.901035075,0.13,108.5357415,17.39276484,4312496.0,2.2248,1.055931646,6.450789799,-0.9548756782030701,-0.6086885838152687,-0.7165990756917088
2015-01-08,16.76932682,-1.3,136.0994987,0.609064408,-0.07,108.4597665,19.12214902,4376026.0,4.2514,-1.854536896,6.450789799,-0.9548756782030701,-0.5850665099230191,-0.6950858297175276
2015-01-09,19.34856898,1.8,138.5492897,-0.002205804,-0.21,108.2320009,19.22006459,4451893.0,3.7536,-0.297153218,6.450789799,-0.9548756782030701,-0.6446196654309737,-0.7416278294674425
2015-01-10,17.97936934,3.4,143.2599655,-0.002205804,0.11,108.3510561,18.95650699,4502229.0,2.5904,0.025890933,6.450789799,-0.9548756782030701,-0.6410659679971719,-0.7231698360002017
2015-01-11,13.72180425,1.5,145.408865,0.338707162,0.07,108.4269019,19.02488674,4586430.0,2.2641,-0.23219353,6.450789799,-0.9548756782030701,-0.6846555444940302,-0.7737056230596451
2015-01-12,12.52587706,3.5,150.4981753,0.60021542,0.02,108.4485873,17.26064009,4655890.0,4.5881,1.682585567,6.450789799,-0.9548756782030701,-0.600313341721887,-0.68708443067896
2016-01-01,12.75741178,-2.6,146.5852227,0.801819058,0.0,108.4485873,18.11374472,4691374.0,4.836522,-0.828395096,6.608763086,-0.7816472073100351,-0.6896680532688697,-0.7800476462561146
2016-01-02,8.431322965,-22.3,113.896718,1.275824611,0.42,108.9040713,17.26311854,4686152.0,3.534375,0.8552915,6.608763086,-0.7816472073100351,-0.7443914895150829,-0.8459876252083905
2016-01-03,6.707454555,23.8,141.0041369,1.700545992,0.57,109.5248245,17.70507104,4797202.0,3.675217,-0.363136707,6.608763086,-0.7816472073100351,-0.5878674792467349,-0.6803729841077935
2016-01-04,-5.398913281,-11.7,124.5066529,1.893506884,0.33,109.8862565,17.34872613,4845059.0,4.3035,0.447480407,6.608763086,-0.7816472073100351,-0.6266362765313245,-0.7161575040705057
2016-01-05,-5.120947306,2.4,127.4948126,2.280083687,0.54,110.4796422,17.55581576,4911308.0,1.911,-0.048515755,6.608763086,-0.7816472073100351,-0.6755986137348549,-0.7755111293154195
2016-01-06,-5.494854903,1.1,128.8972555,2.392199374,0.46,110.9878486,17.63721325,5037936.0,1.270455,0.156785995,6.608763086,-0.7816472073100351,-0.6567194212321119,-0.7574762129163318
2016-01-07,-4.560085911,2.1,131.6040979,2.392199374,0.13,111.1321328,18.37397646,5104873.0,1.137143,-0.546806221,6.608763086,-0.7816472073100351,-0.4513818941198117,-0.546793618122996
2016-01-08,-2.529449441,0.8,132.6569307,2.566388045,0.1,111.2432649,16.65545406,5104873.0,0.902083,1.86745521,6.608763086,-0.7816472073100351,-0.6051157106011765,-0.708721946622637
2016-01-09,-0.997495798,3.4,137.1672663,3.337254776,0.54,111.8439786,16.75990416,5198026.0,0.471,0.123854967,6.608763086,-0.7816472073100351,-0.5776371957149398,-0.673090909916609
2016-01-10,1.491928873,6.0,145.3973023,4.080465479,0.83,112.7722836,16.50211484,5245192.0,0.493158,0.530539871,6.608763086,-0.7816472073100351,-0.5900299315265511,-0.681022136097515
2016-01-11,1.991889114,2.0,148.3052483,4.506896885,0.48,113.3135905,16.66590355,5350800.0,1.480909,0.070844436,6.608763086,-0.7816472073100351,-0.5743881691699388,-0.6577061993654415
2016-01-12,3.17440377,4.7,155.275595,4.726317484,0.23,113.5742118,18.24604963,5505406.0,3.578636,-1.433207183,6.608763086,-0.7816472073100351,-0.5848496075710192,-0.6573934790714044
2017-01-01,-0.639023885,-6.2,145.6485081,5.208058545,0.46,114.0966532,19.46391398,5604499.0,4.66,-1.212440379,6.767739639,-0.6073185869019808,-0.72315929921881,-0.8206415441643842
2017-01-02,25.19227235,-2.1,142.5898895,5.008999282,0.23,114.3590755,19.56031302,5602778.0,3.3826,-0.148242366,6.767739639,-0.6073185869019808,-0.6437062568849223,-0.7295048852052973
2017-01-03,13.76519095,12.5,160.4136256,4.633109457,0.21,114.5992295,19.78207297,5746188.0,4.4545,-0.508845585,6.767739639,-0.6073185869019808,-0.5761815483537491,-0.6619803767200682
2017-01-04,27.80868564,-0.8,159.1303166,4.288955903,0.0,114.5992295,20.06409003,5817176.0,4.5595,-0.687806243,6.767739639,-0.6073185869019808,-0.5713994962650041,-0.6643676978456626
